"country","iso_code","date","people_fully_vaccinated"
"United States","USA","2021-01-14","1342086"
"United States","USA","2021-01-15","1610524"
"United States","USA","2021-01-19","2023124"
"United States","USA","2021-01-20","2161419"
"United States","USA","2021-01-21","2394961"
"United States","USA","2021-01-22","2756953"
"United States","USA","2021-01-23","3027865"
"United States","USA","2021-01-24","3216836"
"United States","USA","2021-01-25","3346390"
"United States","USA","2021-01-26","3481921"
"United States","USA","2021-01-27","3801053"
"United States","USA","2021-01-28","4263056"
"United States","USA","2021-01-29","4780888"
"United States","USA","2021-01-30","5259693"
"United States","USA","2021-01-31","5657142"
"United States","USA","2021-02-01","5927847"
"United States","USA","2021-02-02","6064792"
"United States","USA","2021-02-03","6436931"
"United States","USA","2021-02-04","6926050"
"United States","USA","2021-02-05","7503864"
"United States","USA","2021-02-06","8317180"
"United States","USA","2021-02-07","9147185"
"United States","USA","2021-02-08","9518015"
"United States","USA","2021-02-09","9840429"
"United States","USA","2021-02-10","10469514"
"United States","USA","2021-02-11","11188782"
"United States","USA","2021-02-12","12085830"
"United States","USA","2021-02-13","13082172"
"United States","USA","2021-02-14","14077440"
"United States","USA","2021-02-16","15015434"
"United States","USA","2021-02-17","15471536"
"United States","USA","2021-02-18","16162358"
"United States","USA","2021-02-19","17039118"
"United States","USA","2021-02-20","17895667"
"United States","USA","2021-02-21","18865319"
"United States","USA","2021-02-22","19438495"
"United States","USA","2021-02-23","19882544"
"United States","USA","2021-02-24","20607261"
"United States","USA","2021-02-25","21555117"
"United States","USA","2021-02-26","22613359"
"United States","USA","2021-02-27","23698627"
"United States","USA","2021-02-28","24779920"
"United States","USA","2021-03-01","25466405"
"United States","USA","2021-03-02","26162122"
"United States","USA","2021-03-03","26957804"
"United States","USA","2021-03-04","27795980"
"United States","USA","2021-03-05","28701201"
"United States","USA","2021-03-06","29776160"
"United States","USA","2021-03-07","30686881"
"United States","USA","2021-03-08","31493040"
"United States","USA","2021-03-09","32102061"
"United States","USA","2021-03-10","32904161"
"United States","USA","2021-03-11","33863127"
"United States","USA","2021-03-12","35000159"
"United States","USA","2021-03-13","36929777"
"United States","USA","2021-03-14","37459269"
"United States","USA","2021-03-15","38335432"
"United States","USA","2021-03-16","39042345"
"United States","USA","2021-03-17","39989196"
"United States","USA","2021-03-18","40981464"
"United States","USA","2021-03-19","41934629"
"United States","USA","2021-03-20","43036818"
"United States","USA","2021-03-21","44141228"
"United States","USA","2021-03-22","44910946"
"United States","USA","2021-03-23","45533962"
"United States","USA","2021-03-24","46365515"
"United States","USA","2021-03-25","47419832"
"United States","USA","2021-03-26","48695172"
"United States","USA","2021-03-27","50141769"
"United States","USA","2021-03-28","51593564"
"United States","USA","2021-03-29","52614231"
"United States","USA","2021-03-30","53423486"
"United States","USA","2021-03-31","54607041"
"United States","USA","2021-04-01","56089614"
"United States","USA","2021-04-02","57984785"
"United States","USA","2021-04-03","59858146"
"United States","USA","2021-04-04","61416536"
"United States","USA","2021-04-05","62392065"
"United States","USA","2021-04-06","63016976"
"United States","USA","2021-04-07","64422618"
"United States","USA","2021-04-08","66203123"
"United States","USA","2021-04-09","68202458"
"United States","USA","2021-04-10","70692645"
"United States","USA","2021-04-11","72630892"
"United States","USA","2021-04-12","74066085"
"United States","USA","2021-04-13","75322283"
"United States","USA","2021-04-14","76681252"
"United States","USA","2021-04-15","78498290"
"United States","USA","2021-04-16","80609818"
"United States","USA","2021-04-17","82471151"
"United States","USA","2021-04-18","84263408"
"United States","USA","2021-04-19","85365180"
"United States","USA","2021-04-20","86223506"
"United States","USA","2021-04-21","87592646"
"United States","USA","2021-04-22","89245776"
"United States","USA","2021-04-23","91175995"
"United States","USA","2021-04-24","93078040"
"United States","USA","2021-04-25","94772329"
"United States","USA","2021-04-26","95888088"
"United States","USA","2021-04-27","96747454"
"United States","USA","2021-04-28","98044421"
"United States","USA","2021-04-29","99668945"
"United States","USA","2021-04-30","101407318"
"United States","USA","2021-05-01","103422555"
"United States","USA","2021-05-02","104774652"
"United States","USA","2021-05-03","105523520"
"United States","USA","2021-05-04","106168588"
"United States","USA","2021-05-05","107346533"
"United States","USA","2021-05-06","108926627"
"United States","USA","2021-05-07","110874920"
"United States","USA","2021-05-08","112626771"
"United States","USA","2021-05-09","114258244"
"United States","USA","2021-05-10","115530780"
"United States","USA","2021-05-11","116576359"
"United States","USA","2021-05-12","117647439"
"United States","USA","2021-05-13","118987308"
"United States","USA","2021-05-14","120258637"
"United States","USA","2021-05-15","121768268"
"United States","USA","2021-05-16","122999721"
"United States","USA","2021-05-17","123828224"
"United States","USA","2021-05-18","124455693"
"United States","USA","2021-05-19","125453423"
"United States","USA","2021-05-20","126605166"
"United States","USA","2021-05-21","127778250"
"United States","USA","2021-05-22","129006463"
"United States","USA","2021-05-23","130014175"
"United States","USA","2021-05-24","130615797"
"United States","USA","2021-05-25","131078608"
"United States","USA","2021-05-26","131850089"
"United States","USA","2021-05-27","132769894"
"United States","USA","2021-05-28","133532544"
"United States","USA","2021-05-29","134418748"
"United States","USA","2021-05-30","135087319"
"United States","USA","2021-06-01","135867425"
"United States","USA","2021-06-02","136155250"
"United States","USA","2021-06-03","136644618"
"United States","USA","2021-06-04","137455367"
"United States","USA","2021-06-05","138112702"
"United States","USA","2021-06-06","138969323"
"United States","USA","2021-06-07","139748661"
"United States","USA","2021-06-08","140441957"
"United States","USA","2021-06-09","140980110"
"United States","USA","2021-06-10","141583252"
"United States","USA","2021-06-11","142095530"
"United States","USA","2021-06-12","143119077"
"United States","USA","2021-06-13","143921222"
"United States","USA","2021-06-14","144919339"
"United States","USA","2021-06-15","145768367"
"United States","USA","2021-06-16","146456124"
"United States","USA","2021-06-17","147758585"
"United States","USA","2021-06-18","148459003"
"United States","USA","2021-06-19","149125164"
"United States","USA","2021-06-20","149667646"
"United States","USA","2020-12-20",""
"United States","USA","2020-12-21",""
"United States","USA","2020-12-22",""
"United States","USA","2020-12-23",""
"United States","USA","2020-12-24",""
"United States","USA","2020-12-25",""
"United States","USA","2020-12-26",""
"United States","USA","2020-12-27",""
"United States","USA","2020-12-28",""
"United States","USA","2020-12-29",""
"United States","USA","2020-12-30",""
"United States","USA","2020-12-31",""
"United States","USA","2021-01-01",""
"United States","USA","2021-01-02",""
"United States","USA","2021-01-03",""
"United States","USA","2021-01-04",""
"United States","USA","2021-01-05",""
"United States","USA","2021-01-06",""
"United States","USA","2021-01-07",""
"United States","USA","2021-01-08",""
"United States","USA","2021-01-09",""
"United States","USA","2021-01-10",""
"United States","USA","2021-01-11",""
"United States","USA","2021-01-12",""
"United States","USA","2021-01-13",""
"United States","USA","2021-01-16",""
"United States","USA","2021-01-17",""
"United States","USA","2021-01-18",""
"United States","USA","2021-02-15",""
"United States","USA","2021-05-31",""
